nomor,kode,nama,kelompok,tipe,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
573,ER042,"Kawista, segar (Wood apple, fresh)",Buah,Mentah (Raw),71.8 g,120 Kal,3.5 g,2.5 g,20.8 g,1.4 g,190 mg,230 mg,1.6 mg,9 mg,"1,015.6 mg",308.43 mg,0.4 mg,0.07 mg,0.4 mg,4.6 g,,99 mcg,,0.07 mg,3 mg
574,NP005,Kecap (Soyabean sauce),Bumbu,Olahan (Processed),63.0 g,71 Kal,5.7 g,1.3 g,9.0 g,21.0 g,123 mg,96 mg,5.7 mg,"1,114 mg",,0.04 mg,,,,0.0 g,0 mcg,,,0.00 mg,0 mg
575,BP033,Kecimpring singkong goreng,Umbi Berpati,Olahan (Processed),3.7 g,464 Kal,1.2 g,18.6 g,73.0 g,3.5 g,82 mg,52 mg,3.4 mg,,,,,,,1.3 g,,,"3,320 mcg",0.34 mg,0 mg
576,DR104,"Kecipir muda, segar (Winged bean, fresh)",Sayuran,Mentah (Raw),90.4 g,32 Kal,2.9 g,0.2 g,5.8 g,0.7 g,63 mg,37 mg,0.3 mg,3 mg,103.8 mg,0.18 mg,0.4 mg,0.11 mg,0.7 mg,5.5 g,,261 mcg,595 mcg,0.24 mg,19 mg
577,DR105,"Kecombrang, segar (Red ginger lily, fresh)",Sayuran,Mentah (Raw),90.0 g,34 Kal,0.9 g,1.0 g,6.7 g,1.4 g,60 mg,16 mg,1.0 mg,47 mg,650.6 mg,,,0.02 mg,0.8 mg,2.6 g,0 mcg,0 mcg,73 mcg,0.00 mg,0 mg
578,AP057,Keddo bodong,Serealia,Olahan (Processed),33.9 g,290 Kal,4.6 g,5.7 g,55.2 g,0.6 g,,,,,,,,,,,,,,,
579,ER043,"Kedondong masak, segar (Ambarella, fresh)",Buah,Mentah (Raw),88.0 g,46 Kal,1.0 g,0.1 g,10.3 g,0.6 g,15 mg,22 mg,2.8 mg,2 mg,216.2 mg,0.03 mg,0.1 mg,0.23 mg,0.3 mg,2.6 g,,164 mcg,233 mcg,0.08 mg,30 mg
580,ER044,"Kedondong, segar  (Ambarella, fresh)",Buah,Mentah (Raw),87.8 g,47 Kal,0.5 g,0.2 g,10.4 g,0.6 g,7 mg,58 mg,0.8 mg,2 mg,0.0 mg,,0.2 mg,0.04 mg,0.4 mg,2.7 g,,167 mcg,,0.07 mg,32 mg
581,JP003,Keju,Susu,Olahan (Processed),38.5 g,326 Kal,22.8 g,20.3 g,13.1 g,5.3 g,777 mg,338 mg,1.5 mg,"1,410 mg",82.7 mg,0.03 mg,3.1 mg,0.37 mg,0.1 mg,0.0 g,227 mcg,128 mcg,,0.01 mg,1 mg
582,CP036,Keju kacang tanah (peanut butter),Kacang-Kacangan,Olahan (Processed),3.0 g,590 Kal,27.0 g,49.0 g,20.9 g,0.1 g,60 mg,360 mg,2.0 mg,355 mg,492.4 mg,0.57 mg,2.7 mg,0.20 mg,16.2 mg,1.6 g,0 mcg,0 mcg,,0.30 mg,0 mg
583,ER045,"Kelapa hutan, kering",Buah,Mentah (Raw),6.0 g,623 Kal,2.0 g,52.1 g,36.5 g,3.4 g,120 mg,280 mg,3.8 mg,100 mg,460.0 mg,1.70 mg,1.9 mg,,0.2 mg,15.3 g,,,,,
584,QR001,"Kelapa muda, air, segar (Coconut, young,  water, fresh)",Minuman Non Alkohol,Mentah (Raw),95.5 g,17 Kal,0.2 g,0.1 g,3.8 g,0.4 g,15 mg,8 mg,0.2 mg,1 mg,149.0 mg,0.04 mg,0.1 mg,0.00 mg,0.0 mg,0.0 g,0 mcg,0 mcg,,0.00 mg,1 mg
585,ER046,"Kelapa muda, daging, segar (Coconut, flesh, Young, fresh )",Buah,Mentah (Raw),83.3 g,68 Kal,1.0 g,0.9 g,14.0 g,0.8 g,7 mg,30 mg,1.0 mg,18 mg,564.6 mg,0.14 mg,0.3 mg,0.02 mg,0.6 mg,0.0 g,0 mcg,0 mcg,,0.06 mg,4 mg
586,KR001,"Kelapa setengah tua, daging, segar (Coconut flesh, half mature, fresh)",Minyak/Lemak,Mentah (Raw),70.0 g,180 Kal,4.0 g,15.0 g,10.0 g,1.0 g,8 mg,55 mg,1.3 mg,4 mg,317.7 mg,0.29 mg,2.9 mg,0.01 mg,0.1 mg,2.4 g,,0 mcg,10 mcg,0.05 mg,4 mg
587,KR002,"Kelapa tua, daging, segar (Coconut, flesh, old, fresh)",Minyak/Lemak,Mentah (Raw),46.9 g,359 Kal,3.4 g,34.7 g,14.0 g,1.0 g,21 mg,98 mg,2.0 mg,3 mg,293.9 mg,0.44 mg,1.1 mg,0.00 mg,0.0 mg,4.7 g,0 mcg,0 mcg,,0.10 mg,2 mg
588,DR106,"Kelawi,kluwih, segar (Breadfruit, fresh)",Sayuran,Mentah (Raw),70.0 g,118 Kal,1.5 g,0.3 g,27.2 g,1.0 g,28 mg,32 mg,0.9 mg,2 mg,500.9 mg,0.09 mg,0.1 mg,0.03 mg,0.9 mg,5.0 g,,0 mcg,20 mcg,0.10 mg,19 mg
589,AP058,"Kelepon, kue",Serealia,Olahan (Processed),49.6 g,215 Kal,3.7 g,3.7 g,41.8 g,1.2 g,232 mg,45 mg,3.3 mg,,,,,0.07 mg,0.2 mg,1.0 g,0 mcg,,872 mcg,0.09 mg,0 mg
590,FR020,"Kelinci, daging, segar (Rabbit, meat, fresh)",Daging,Mentah (Raw),74.3 g,142 Kal,16.9 g,7.8 g,0.0 g,1.0 g,7 mg,350 mg,1.0 mg,49 mg,371.1 mg,,,0.11 mg,6.8 mg,0.0 g,0 mcg,0 mcg,0 mcg,0.11 mg,
591,ER047,"Kemang, segar (Kemang, fresh)",Buah,Mentah (Raw),86.5 g,48 Kal,1.0 g,0.2 g,11.9 g,0.4 g,10 mg,24 mg,0.1 mg,2 mg,88.6 mg,0.04 mg,0.1 mg,0.01 mg,0.3 mg,1.7 g,,318 mcg,6 mcg,0.08 mg,58 mg
592,CP037,Kembang tahu,Kacang-Kacangan,Olahan (Processed),10.8 g,380 Kal,48.9 g,13.8 g,23.3 g,3.2 g,378 mg,781 mg,2.1 mg,55 mg,455.3 mg,0.68 mg,4.2 mg,0.08 mg,0.7 mg,0.0 g,,0 mcg,,0.15 mg,
593,CP038,Kembang tahu rebus,Kacang-Kacangan,Olahan (Processed),79.8 g,90 Kal,10.7 g,4.0 g,4.7 g,0.8 g,85 mg,,,,,,,,,,,,,,
594,DR107,"Kembang turi, segar",Sayuran,Mentah (Raw),87.4 g,51 Kal,1.8 g,0.6 g,9.6 g,0.6 g,23 mg,29 mg,0.9 mg,22 mg,275.3 mg,0.15 mg,0.9 mg,0.12 mg,0.6 mg,5.0 g,,201 mcg,105 mcg,0.13 mg,41 mg
595,NR019,Kemiri (Candle nut),Bumbu,Mentah (Raw),7.0 g,675 Kal,19.0 g,63.0 g,8.0 g,3.0 g,80 mg,200 mg,2.0 mg,25 mg,430.7 mg,0.23 mg,0.8 mg,0.06 mg,0.4 mg,3.0 g,,0 mcg,0 mcg,0.06 mg,0 mg
596,CR037,"Kenari banda, kering (Walnut, banda, dried)",Kacang-Kacangan,Mentah (Raw),13.0 g,616 Kal,13.9 g,56.2 g,13.7 g,3.2 g,0 mg,380 mg,1.4 mg,11 mg,460.0 mg,1.10 mg,3.2 mg,0.08 mg,0.5 mg,,,90 mcg,,0.83 mg,
597,CR038,"Kenari, kering (Walnut, dried)",Kacang-Kacangan,Mentah (Raw),3.0 g,657 Kal,15.0 g,66.0 g,13.0 g,3.0 g,92 mg,691 mg,7.7 mg,3 mg,505.8 mg,0.97 mg,3.0 mg,0.09 mg,0.5 mg,,0 mcg,,,0.42 mg,0 mg
598,BR014,"Kentang hitam, segar (Madagascar potato, fresh)",Umbi Berpati,Mentah (Raw),64.0 g,142 Kal,0.9 g,0.4 g,33.7 g,1.0 g,34 mg,75 mg,0.2 mg,22 mg,890.3 mg,0.90 mg,0.6 mg,0.10 mg,2.2 mg,5.4 g,,0 mcg,,0.02 mg,38 mg
599,BR013,"Kentang, segar (Yam, fresh)",Umbi Berpati,Mentah (Raw),83.4 g,62 Kal,2.1 g,0.2 g,13.5 g,0.8 g,63 mg,58 mg,0.7 mg,7 mg,396.0 mg,0.40 mg,0.3 mg,0.10 mg,1.0 mg,0.5 g,0 mcg,0 mcg,0 mcg,0.09 mg,21 mg
600,GR072,"Keong, segar (Snail, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),81.0 g,64 Kal,12.0 g,1.0 g,2.0 g,4.0 g,217 mg,78 mg,1.7 mg,231 mg,,0.37 mg,0.1 mg,,,0.0 g,0 mcg,244 mcg,,,
601,JR001,"Kepala susu - krim, segar",Susu,Mentah (Raw),72.5 g,204 Kal,2.6 g,20.0 g,4.0 g,0.9 g,97 mg,77 mg,0.1 mg,,,,,0.20 mg,0.1 mg,0.0 g,252 mcg,191 mcg,,0.03 mg,1 mg
602,GR073,"Kepiting, segar (Crab, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),68.1 g,151 Kal,13.8 g,3.8 g,14.1 g,0.2 g,210 mg,250 mg,1.1 mg,,,,,,,0.0 g,61 mcg,,,0.05 mg,0 mg
603,GP045,"Kerang, asap, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),9.3 g,393 Kal,38.9 g,13.3 g,29.4 g,9.1 g,420 mg,410 mg,8.5 mg,160 mg,50.0 mg,0.60 mg,3.7 mg,1.70 mg,0.2 mg,,,,,0.30 mg,
604,GP046,"Kerang, dendeng, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),18.3 g,357 Kal,41.1 g,10.0 g,25.6 g,5.0 g,217 mg,904 mg,5.2 mg,,,,,,,0.0 g,0 mcg,,329 mcg,0.27 mg,0 mg
605,GR074,"Kerang, segar",Ikan/Kerang/Udang dll,Mentah (Raw),78.2 g,101 Kal,14.4 g,2.6 g,3.9 g,0.9 g,321 mg,270 mg,15.6 mg,,,,,,,0.0 g,0 mcg,,0 mcg,0.01 mg,0 mg
606,FR021,"Kerbau, daging, segar (Buffalo, meat, fresh)",Daging,Mentah (Raw),80.0 g,79 Kal,18.7 g,0.5 g,0.0 g,0.8 g,14 mg,221 mg,3.3 mg,91 mg,273.0 mg,0.13 mg,1.6 mg,0.17 mg,5.0 mg,0.0 g,,,,0.06 mg,0 mg
607,BP034,Keremes,Umbi Berpati,Olahan (Processed),6.7 g,475 Kal,1.6 g,25.2 g,64.4 g,2.1 g,153 mg,88 mg,1.0 mg,,,,,,,2.1 g,0 mcg,,"1,000 mcg",0.00 mg,0 mg
608,AP059,Kereput,Serealia,Olahan (Processed),3.5 g,580 Kal,4.8 g,39.6 g,51.1 g,1.0 g,,,,,,,,,,,,,,,
609,BR015,"Keribang, ubi, segar",Umbi Berpati,Mentah (Raw),67.0 g,137 Kal,1.3 g,1.1 g,29.8 g,0.8 g,45 mg,56 mg,0.8 mg,10 mg,885.8 mg,0.20 mg,0.3 mg,0.00 mg,0.7 mg,0.6 g,0 mcg,0 mcg,0 mcg,0.00 mg,0 mg
610,DP038,Keripik bayam,Sayuran,Olahan (Processed),2.3 g,586 Kal,4.9 g,40.6 g,50.2 g,1.9 g,236 mg,117 mg,3.6 mg,,,,,,,0.5 g,0 mcg,,"4,544 mcg",0.16 mg,0 mg
611,BP035,Keripik gadung,Umbi Berpati,Olahan (Processed),4.0 g,446 Kal,2.8 g,14.5 g,76.0 g,2.8 g,147 mg,52 mg,1.9 mg,,,,,,,1.7 g,0 mcg,0 mcg,0 mcg,0.95 mg,0 mg
612,BP036,Keripik kentang,Umbi Berpati,Olahan (Processed),7.8 g,448 Kal,2.7 g,18.8 g,67.1 g,3.6 g,25 mg,130 mg,1.2 mg,712 mg,406.0 mg,1.10 mg,,0.05 mg,2.8 mg,3.8 g,,15 mcg,,0.10 mg,0 mg
613,EP004,Keripik lampung,Buah,Olahan (Processed),5.0 g,485 Kal,1.7 g,22.2 g,69.7 g,1.5 g,43 mg,65 mg,0.8 mg,,,,,,,0.6 g,,,"1,464 mcg",0.34 mg,0 mg
614,CP039,Keripik oncom,Kacang-Kacangan,Olahan (Processed),3.0 g,598 Kal,8.3 g,43.8 g,42.6 g,2.2 g,85 mg,153 mg,27.0 mg,,,,,,,3.3 g,,,"1,608 mcg",1.13 mg,0 mg
615,BP037,Keripik singkong,Umbi Berpati,Olahan (Processed),4.2 g,478 Kal,0.9 g,20.7 g,72.0 g,2.2 g,189 mg,101 mg,1.9 mg,,,,,,,2.0 g,0 mcg,0 mcg,0 mcg,0.24 mg,0 mg
616,BP038,Keripik singkong berbumbu,Umbi Berpati,Olahan (Processed),2.2 g,481 Kal,2.2 g,19.7 g,73.6 g,2.3 g,156 mg,103 mg,1.6 mg,,,,,,,1.6 g,0 mcg,,80 mcg,0.31 mg,0 mg
617,CP040,Keripik tempe,Kacang-Kacangan,Olahan (Processed),3.3 g,581 Kal,12.1 g,40.6 g,41.7 g,2.3 g,237 mg,116 mg,6.9 mg,,,,,,,2.2 g,,,320 mcg,0.35 mg,0 mg
618,CP041,Keripik tempe abadi besar,Kacang-Kacangan,Olahan (Processed),4.5 g,556 Kal,15.8 g,37.1 g,39.8 g,2.8 g,112 mg,215 mg,5.4 mg,,,,,,,3.5 g,,,0 mcg,0.63 mg,0 mg
619,CP042,Keripik tempe abadi murni,Kacang-Kacangan,Olahan (Processed),3.2 g,542 Kal,40.3 g,42.4 g,11.6 g,2.7 g,175 mg,529 mg,5.2 mg,,,,,,,2.2 g,,,50 mcg,0.10 mg,0 mg
620,CP043,Keripik tempe abadi sedang,Kacang-Kacangan,Olahan (Processed),4.4 g,510 Kal,12.3 g,27.9 g,52.4 g,3.1 g,122 mg,211 mg,8.4 mg,,,,,,,3.6 g,,,0 mcg,0.52 mg,0 mg
621,CP044,Keripik tempe abadi telur,Kacang-Kacangan,Olahan (Processed),4.5 g,529 Kal,20.8 g,31.7 g,40.2 g,2.9 g,124 mg,222 mg,5.4 mg,,,,,,,3.0 g,,,0 mcg,0.86 mg,0 mg
622,BP039,Keripik ubi,Umbi Berpati,Olahan (Processed),6.0 g,486 Kal,0.2 g,23.9 g,67.6 g,2.3 g,68 mg,92 mg,0.9 mg,52 mg,2.0 mg,0.70 mg,2.3 mg,0.10 mg,0.5 mg,14.3 g,0 mcg,920 mcg,,0.10 mg,0 mg
623,DR108,"Kerokot, segar",Sayuran,Mentah (Raw),93.0 g,26 Kal,1.7 g,0.4 g,3.8 g,1.1 g,103 mg,39 mg,3.6 mg,4 mg,240.5 mg,0.23 mg,0.9 mg,0.09 mg,0.2 mg,1.0 g,,0 mcg,"2,550 mcg",0.03 mg,25 mg
624,CP045,Kerupik tempe abadi prima,Kacang-Kacangan,Olahan (Processed),4.8 g,540 Kal,16.7 g,33.9 g,42.0 g,2.6 g,92 mg,184 mg,3.2 mg,,,,,,,2.2 g,,,"1,080 mcg",0.38 mg,0 mg
625,BP040,Kerupuk cumi goreng,Umbi Berpati,Olahan (Processed),3.4 g,444 Kal,6.9 g,14.6 g,71.3 g,3.8 g,47 mg,375 mg,1.8 mg,837 mg,191.0 mg,0.10 mg,0.3 mg,0.10 mg,1.8 mg,5.0 g,,,,0.40 mg,0 mg
626,BP041,Kerupuk kemplang  (ikan) mentah,Umbi Berpati,Olahan (Processed),14.2 g,325 Kal,1.8 g,0.4 g,78.5 g,5.1 g,59 mg,268 mg,2.3 mg,"1,123 mg",273.0 mg,0.20 mg,0.5 mg,0.10 mg,2.3 mg,4.5 g,32 mcg,0 mcg,,0.60 mg,0 mg
627,BP042,Kerupuk kemplang goreng,Umbi Berpati,Olahan (Processed),5.8 g,504 Kal,5.6 g,28.1 g,57.1 g,3.4 g,50 mg,94 mg,2.9 mg,,,,,,,0.3 g,6 mcg,,280 mcg,0.31 mg,0 mg
628,BP043,Kerupuk kemplang panggang,Umbi Berpati,Olahan (Processed),9.4 g,356 Kal,9.7 g,1.1 g,76.9 g,3.0 g,62 mg,129 mg,2.9 mg,,,,,,,1.0 g,7 mcg,,280 mcg,0.36 mg,0 mg
629,BP044,Kerupuk mie kuning goreng,Umbi Berpati,Olahan (Processed),7.2 g,476 Kal,0.1 g,21.1 g,71.3 g,0.3 g,57 mg,36 mg,4.6 mg,,109.0 mg,0.10 mg,0.2 mg,0.00 mg,0.9 mg,4.2 g,0 mcg,,333 mcg,0.22 mg,0 mg
630,BP045,Kerupuk udang goreng,Umbi Berpati,Olahan (Processed),4.4 g,477 Kal,4.7 g,20.5 g,68.5 g,1.9 g,24 mg,188 mg,0.9 mg,449 mg,109.0 mg,0.10 mg,0.2 mg,0.00 mg,0.9 mg,5.0 g,,0 mcg,,0.20 mg,0 mg
631,FP007,Kerupuk urat,Daging,Olahan (Processed),3.6 g,588 Kal,53.7 g,40.9 g,1.2 g,0.6 g,36 mg,15 mg,1.3 mg,"1,024 mg",37.0 mg,0.10 mg,0.2 mg,,,,"2,802 mcg",,,,
632,ER048,"Kesemek, segar (Persimmons, fresh)",Buah,Mentah (Raw),78.2 g,78 Kal,0.8 g,0.4 g,20.0 g,0.6 g,6 mg,26 mg,0.3 mg,0 mg,34.5 mg,0.13 mg,0.1 mg,0.00 mg,0.1 mg,0.6 g,,109 mcg,"2,710 mcg",0.05 mg,11 mg
633,AP015,"Ketan hitam, matang",Serealia,Olahan (Processed),56.9 g,181 Kal,4.0 g,1.2 g,37.3 g,0.6 g,9 mg,144 mg,1.7 mg,9 mg,18.4 mg,0.10 mg,0.7 mg,0.00 mg,0.5 mg,0.3 g,0 mcg,0 mcg,0 mcg,0.06 mg,0 mg
634,AP017,"Ketan putih, matang",Serealia,Olahan (Processed),60.7 g,163 Kal,3.0 g,0.4 g,35.7 g,0.2 g,4 mg,55 mg,0.7 mg,8 mg,16.8 mg,0.10 mg,0.7 mg,0.00 mg,0.5 mg,0.2 g,0 mcg,0 mcg,0 mcg,0.07 mg,0 mg
635,BR016,"Ketela pohon/ singkong, segar (Cassava, fresh)",Umbi Berpati,Mentah (Raw),61.4 g,154 Kal,1.0 g,0.3 g,36.8 g,0.5 g,77 mg,24 mg,1.1 mg,2 mg,394.0 mg,0.30 mg,0.4 mg,0.10 mg,0.5 mg,0.9 g,0 mcg,0 mcg,0 mcg,0.06 mg,31 mg
636,BP008,Ketela pohon/singkong kukus,Umbi Berpati,Olahan (Processed),61.5 g,153 Kal,1.2 g,0.3 g,36.4 g,0.6 g,56 mg,22 mg,0.4 mg,2 mg,345.3 mg,0.30 mg,0.1 mg,0.00 mg,0.3 mg,1.3 g,0 mcg,0 mcg,0 mcg,0.00 mg,20 mg
637,DR110,"Ketimun krai, segar (Cucumber (krai), fresh)",Sayuran,Mentah (Raw),96.8 g,10 Kal,0.5 g,0.2 g,2.0 g,0.5 g,20 mg,98 mg,1.0 mg,10 mg,82.1 mg,0.03 mg,0.1 mg,0.03 mg,0.1 mg,0.6 g,0 mcg,19 mcg,21 mcg,0.02 mg,3 mg
638,DR111,"Ketimun madura, segar (Cucumber (madura), fresh)",Sayuran,Mentah (Raw),97.1 g,9 Kal,0.5 g,0.1 g,1.9 g,0.4 g,15 mg,102 mg,0.6 mg,2 mg,78.9 mg,0.02 mg,0.1 mg,0.02 mg,0.1 mg,0.7 g,0 mcg,25 mcg,0 mcg,0.02 mg,5 mg
639,DR109,"Ketimun, segar (Cucumber, fresh)",Sayuran,Mentah (Raw),97.9 g,8 Kal,0.2 g,0.2 g,1.4 g,0.3 g,29 mg,95 mg,0.8 mg,2 mg,57.1 mg,0.02 mg,0.1 mg,0.02 mg,0.1 mg,0.3 g,0 mcg,18 mcg,314 mcg,0.01 mg,1 mg
640,AP060,Ketoprak,Serealia,Olahan (Processed),69.1 g,153 Kal,7.9 g,7.7 g,13.0 g,2.6 g,153 mg,134 mg,3.4 mg,,,,,,,2.9 g,3 mcg,,435 mcg,0.05 mg,0 mg
641,NR020,"Ketumbar, kering (Coriander, seed)",Bumbu,Mentah (Raw),11.2 g,418 Kal,14.1 g,16.1 g,54.2 g,4.4 g,630 mg,370 mg,17.9 mg,91 mg,"1,787.0 mg",0.95 mg,4.6 mg,0.35 mg,1.8 mg,12.3 g,,75 mcg,"1,570 mcg",0.20 mg,0 mg
642,AP061,Ketupat kandangan,Serealia,Olahan (Processed),78.5 g,109 Kal,2.2 g,5.2 g,13.4 g,0.7 g,,,,,,,,,,,,,,,
643,AP014,Ketupat ketan,Serealia,Olahan (Processed),52.0 g,212 Kal,4.0 g,4.6 g,38.6 g,0.9 g,8 mg,46 mg,1.0 mg,,,,,,0.2 mg,0.2 g,0 mcg,0 mcg,0 mcg,0.07 mg,0 mg
644,NR021,Kluwek (Pucungmit),Bumbu,Mentah (Raw),51.0 g,310 Kal,10.0 g,24.0 g,13.5 g,1.5 g,40 mg,100 mg,2.0 mg,,,,,,,,,,0 mcg,0.15 mg,30 mg
645,GR075,"Kodok, segar (Frog, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),81.9 g,73 Kal,16.4 g,0.3 g,0.0 g,1.4 g,18 mg,147 mg,1.1 mg,,,,,,,0.0 g,0 mcg,,,0.14 mg,0 mg
646,ER049,"Kokosan, segar (Langsat, fresh)",Buah,Mentah (Raw),85.0 g,86 Kal,1.6 g,0.2 g,13.0 g,0.2 g,22 mg,38 mg,1.3 mg,2 mg,118.3 mg,0.08 mg,0.2 mg,0.04 mg,1.5 mg,1.4 g,,0 mcg,20 mcg,0.04 mg,3 mg
647,CR039,"Komak polong, segar (Hyacinth bean)",Kacang-Kacangan,Mentah (Raw),74.3 g,99 Kal,3.3 g,0.1 g,21.2 g,1.1 g,50 mg,99 mg,13.1 mg,15 mg,567.0 mg,0.20 mg,0.6 mg,0.03 mg,0.2 mg,10.3 g,,5 mcg,,0.13 mg,
648,DR112,"Komak, segar (Hyacinth bean, fresh)",Sayuran,Mentah (Raw),74.3 g,99 Kal,3.3 g,0.1 g,21.2 g,1.1 g,50 mg,99 mg,13.1 mg,15 mg,567.0 mg,0.20 mg,0.6 mg,0.19 mg,0.1 mg,10.3 g,,5 mcg,,0.20 mg,
649,DR113,"Kool kembang (Cauliflower, fresh/white headed cabbage, fresh)",Sayuran,Mentah (Raw),91.7 g,25 Kal,2.4 g,0.2 g,4.9 g,0.8 g,22 mg,72 mg,1.1 mg,47 mg,187.0 mg,0.04 mg,0.3 mg,0.09 mg,0.6 mg,1.6 g,,24 mcg,90 mcg,0.11 mg,69 mg
650,DR114,"Kool merah,kool putih (Cabbage, fresh)",Sayuran,Mentah (Raw),92.4 g,29 Kal,1.4 g,0.2 g,5.3 g,0.9 g,46 mg,31 mg,0.5 mg,28 mg,236.8 mg,0.29 mg,0.3 mg,0.07 mg,0.3 mg,1.9 g,,46 mcg,80 mcg,0.06 mg,50 mg
651,MP009,"Kopi bubuk instant (Coffee, instant)",Konfeksioneri,Olahan (Processed),2.6 g,129 Kal,12.3 g,0.5 g,35.0 g,9.7 g,179 mg,383 mg,5.6 mg,72 mg,"3,256.0 mg",0.14 mg,0.0 mg,0.21 mg,30.6 mg,0.0 g,,0 mcg,0 mcg,0.00 mg,0 mg
652,CR040,"Koro andong, kering (Jack bean, dried)",Kacang-Kacangan,Mentah (Raw),10.8 g,356 Kal,20.5 g,4.1 g,61.6 g,3.0 g,150 mg,272 mg,6.2 mg,18 mg,301.8 mg,0.73 mg,2.8 mg,0.02 mg,1.4 mg,7.0 g,,0 mcg,,0.29 mg,1 mg
653,CR041,"Koro benguk, biji, kering (Hyacinth bean, seaded,dried)",Kacang-Kacangan,Mentah (Raw),15.0 g,332 Kal,24.0 g,3.0 g,55.0 g,3.0 g,30 mg,200 mg,2.0 mg,42 mg,389.2 mg,1.25 mg,8.7 mg,0.12 mg,1.7 mg,5.6 g,,0 mcg,70 mcg,0.30 mg,0 mg
654,CR042,"Koro kerupuk, biji, segar (Hyacinth bean, seeded, fresh)",Kacang-Kacangan,Mentah (Raw),67.2 g,125 Kal,8.3 g,0.7 g,22.1 g,1.7 g,17 mg,12 mg,2.7 mg,16 mg,150.3 mg,0.48 mg,3.4 mg,0.04 mg,1.1 mg,2.2 g,,0 mcg,80 mcg,0.11 mg,31 mg
655,DR115,"Koro kerupuk, polong (Lablab, hyacinth bean)",Sayuran,Mentah (Raw),67.2 g,128 Kal,8.3 g,0.7 g,22.1 g,1.7 g,17 mg,12 mg,2.7 mg,,,,,,,,,,80 mcg,0.11 mg,31 mg
656,CR043,"Koro loke, biji, segar",Kacang-Kacangan,Mentah (Raw),88.6 g,33 Kal,2.7 g,0.2 g,7.9 g,0.6 g,60 mg,40 mg,2.0 mg,2 mg,38.6 mg,0.09 mg,0.4 mg,0.00 mg,0.2 mg,3.5 g,,0 mcg,40 mcg,0.10 mg,0 mg
657,CR044,"Koro roay, kering (Lima bean, dried)",Kacang-Kacangan,Mentah (Raw),13.0 g,344 Kal,12.5 g,2.1 g,69.4 g,3.0 g,70 mg,103 mg,4.4 mg,18 mg,294.3 mg,0.72 mg,2.7 mg,0.21 mg,1.4 mg,7.5 g,,0 mcg,28 mcg,0.11 mg,1 mg
658,CR045,"Koro wedus, biji, kering (Hyacinth bean)",Kacang-Kacangan,Mentah (Raw),11.8 g,338 Kal,22.2 g,1.5 g,61.0 g,3.5 g,88 mg,395 mg,3.5 mg,43 mg,403.8 mg,1.30 mg,9.1 mg,0.12 mg,1.8 mg,5.8 g,0 mcg,0 mcg,,0.62 mg,0 mg
659,DR116,"Koro wedus, polong",Sayuran,Mentah (Raw),88.0 g,46 Kal,3.0 g,0.3 g,7.9 g,0.8 g,56 mg,47 mg,1.1 mg,2 mg,249.3 mg,0.09 mg,0.4 mg,0.09 mg,0.5 mg,3.3 g,,66 mcg,870 mcg,0.09 mg,17 mg
660,DP039,Kotiu hinela tawang nggole,Sayuran,Olahan (Processed),88.4 g,46 Kal,2.2 g,1.5 g,6.0 g,1.9 g,64 mg,44 mg,0.0 mg,316 mg,103.0 mg,1.60 mg,0.8 mg,,9.7 mg,3.8 g,,75 mcg,,0.30 mg,7 mg
661,AP062,Koya,Serealia,Olahan (Processed),13.2 g,366 Kal,4.2 g,4.3 g,77.5 g,0.8 g,153 mg,222 mg,7.0 mg,,,,,,,0.8 g,0 mcg,,,,0 mg
662,AP063,Koya mirasa,Serealia,Olahan (Processed),7.2 g,370 Kal,8.0 g,1.0 g,82.2 g,1.6 g,83 mg,110 mg,17.0 mg,,,,,0.45 mg,2.6 mg,0.4 g,3 mcg,,144 mcg,0.19 mg,0 mg
663,AP064,Koyabu,Serealia,Olahan (Processed),44.2 g,241 Kal,3.4 g,4.3 g,47.2 g,0.9 g,,,,,,,,,,,,,,,
664,ER050,"Kranji, segar (Sweet inga, fresh)",Buah,Mentah (Raw),20.1 g,315 Kal,2.1 g,1.4 g,73.5 g,2.9 g,160 mg,120 mg,3.7 mg,,,,,,,3.6 g,,,,0.02 mg,
665,DR118,"Kucai muda (Lokio), segar (Rakkyo, fresh)",Sayuran,Mentah (Raw),86.0 g,42 Kal,3.8 g,0.6 g,7.8 g,1.8 g,76 mg,91 mg,2.5 mg,22 mg,449.1 mg,0.11 mg,0.5 mg,0.20 mg,1.8 mg,4.9 g,,"2,744 mcg",500 mcg,0.11 mg,59 mg
